time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-22 00:00:00+00:00,0,0,6,1
2021-05-23 00:00:00+00:00,0,0,6,1
2021-05-24 00:00:00+00:00,1,1,68,7
2021-05-25 00:00:00+00:00,0,0,18,9
2021-05-26 00:00:00+00:00,1,1,0,0
2021-05-27 00:00:00+00:00,1,1,5,2
2021-05-28 00:00:00+00:00,0,0,3,2
2021-05-30 00:00:00+00:00,1,1,1,1
2021-05-31 00:00:00+00:00,0,0,23,2
2021-06-01 00:00:00+00:00,1,1,9,5
2021-06-02 00:00:00+00:00,0,0,5,2
2021-06-03 00:00:00+00:00,0,0,5,3
2021-06-04 00:00:00+00:00,1,1,34,4
2021-06-05 00:00:00+00:00,0,0,3,3
2021-06-06 00:00:00+00:00,2,1,15,3
2021-06-07 00:00:00+00:00,1,1,14,6
2021-06-08 00:00:00+00:00,0,0,39,5
2021-06-09 00:00:00+00:00,1,1,15,7
2021-06-10 00:00:00+00:00,0,0,18,6
2021-06-11 00:00:00+00:00,0,0,50,12
2021-06-12 00:00:00+00:00,1,1,26,5
2021-06-13 00:00:00+00:00,1,1,5,3
2021-06-14 00:00:00+00:00,0,0,3,3
2021-06-15 00:00:00+00:00,0,0,43,5
2021-06-16 00:00:00+00:00,2,2,12,6
2021-06-17 00:00:00+00:00,1,1,17,6
2021-06-18 00:00:00+00:00,1,1,84,8
2021-06-19 00:00:00+00:00,0,0,3,3
2021-06-20 00:00:00+00:00,0,0,43,3
2021-06-21 00:00:00+00:00,0,0,8,4
2021-06-22 00:00:00+00:00,2,2,39,7
2021-06-23 00:00:00+00:00,0,0,42,9
2021-06-24 00:00:00+00:00,1,1,22,7
2021-06-25 00:00:00+00:00,1,1,15,14
2021-06-26 00:00:00+00:00,0,0,2,1
2021-06-27 00:00:00+00:00,1,1,1,1
2021-06-28 00:00:00+00:00,0,0,5,2
2021-06-29 00:00:00+00:00,0,0,31,11
2021-06-30 00:00:00+00:00,0,0,7,7
2021-07-01 00:00:00+00:00,1,1,7,6
2021-07-02 00:00:00+00:00,1,1,6,2
2021-07-03 00:00:00+00:00,0,0,5,1
2021-07-04 00:00:00+00:00,0,0,1,1
2021-07-05 00:00:00+00:00,0,0,3,3
2021-07-06 00:00:00+00:00,1,1,8,5
2021-07-07 00:00:00+00:00,0,0,3,3
2021-07-08 00:00:00+00:00,2,2,8,2
2021-07-09 00:00:00+00:00,0,0,11,9
2021-07-10 00:00:00+00:00,0,0,2,2
2021-07-11 00:00:00+00:00,0,0,3,2
2021-07-13 00:00:00+00:00,0,0,3,3
2021-07-14 00:00:00+00:00,0,0,4,2
2021-07-15 00:00:00+00:00,0,0,6,3
2021-07-16 00:00:00+00:00,2,2,84,8
2021-07-17 00:00:00+00:00,0,0,2,1
2021-07-19 00:00:00+00:00,1,1,21,11
2021-07-20 00:00:00+00:00,0,0,2,2
2021-07-21 00:00:00+00:00,0,0,6,3
2021-07-22 00:00:00+00:00,1,1,5,4
2021-07-23 00:00:00+00:00,0,0,3,2
2021-07-24 00:00:00+00:00,0,0,2,2
2021-07-25 00:00:00+00:00,2,2,0,0
2021-07-26 00:00:00+00:00,0,0,1,1
2021-07-27 00:00:00+00:00,1,1,13,4
2021-07-28 00:00:00+00:00,1,1,6,1
2021-07-29 00:00:00+00:00,1,1,1,1
2021-07-30 00:00:00+00:00,0,0,4,4
2021-07-31 00:00:00+00:00,0,0,1,1
2021-08-01 00:00:00+00:00,0,0,1,1
2021-08-02 00:00:00+00:00,0,0,18,8
2021-08-03 00:00:00+00:00,0,0,2,2
2021-08-04 00:00:00+00:00,0,0,3,3
2021-08-05 00:00:00+00:00,0,0,5,5
2021-08-06 00:00:00+00:00,0,0,8,4
2021-08-07 00:00:00+00:00,0,0,2,2
2021-08-08 00:00:00+00:00,1,1,40,6
2021-08-09 00:00:00+00:00,0,0,15,3
2021-08-10 00:00:00+00:00,2,2,19,5
2021-08-11 00:00:00+00:00,1,1,8,6
2021-08-12 00:00:00+00:00,1,1,10,2
2021-08-13 00:00:00+00:00,1,1,17,4
2021-08-15 00:00:00+00:00,0,0,2,2
2021-08-16 00:00:00+00:00,0,0,2,2
2021-08-17 00:00:00+00:00,1,1,5,5
2021-08-18 00:00:00+00:00,0,0,5,5
2021-08-19 00:00:00+00:00,0,0,11,6
2021-08-20 00:00:00+00:00,0,0,16,3
2021-08-21 00:00:00+00:00,0,0,3,2
2021-08-22 00:00:00+00:00,0,0,10,3
2021-08-23 00:00:00+00:00,0,0,4,4
2021-08-24 00:00:00+00:00,1,1,9,6
2021-08-25 00:00:00+00:00,1,1,2,2
2021-08-26 00:00:00+00:00,0,0,5,4
2021-08-27 00:00:00+00:00,1,1,10,2
2021-08-28 00:00:00+00:00,0,0,2,2
2021-08-29 00:00:00+00:00,8,7,5,5
2021-08-30 00:00:00+00:00,0,0,15,6
2021-08-31 00:00:00+00:00,2,1,12,3
2021-09-01 00:00:00+00:00,1,1,4,3
2021-09-02 00:00:00+00:00,0,0,4,4
2021-09-03 00:00:00+00:00,1,1,8,5
2021-09-04 00:00:00+00:00,1,1,1,1
2021-09-05 00:00:00+00:00,0,0,7,2
2021-09-06 00:00:00+00:00,0,0,1,1
2021-09-07 00:00:00+00:00,1,1,4,2
2021-09-08 00:00:00+00:00,0,0,10,2
2021-09-09 00:00:00+00:00,0,0,7,2
2021-09-10 00:00:00+00:00,0,0,4,3
2021-09-12 00:00:00+00:00,1,1,3,2
2021-09-13 00:00:00+00:00,0,0,1,1
2021-09-14 00:00:00+00:00,0,0,2,2
2021-09-15 00:00:00+00:00,0,0,2,2
2021-09-16 00:00:00+00:00,0,0,18,6
2021-09-17 00:00:00+00:00,0,0,12,9
2021-09-18 00:00:00+00:00,0,0,2,2
2021-09-19 00:00:00+00:00,1,1,3,2
2021-09-20 00:00:00+00:00,0,0,3,3
2021-09-21 00:00:00+00:00,0,0,4,4
2021-09-22 00:00:00+00:00,0,0,2,2
2021-09-24 00:00:00+00:00,0,0,37,2
2021-09-25 00:00:00+00:00,0,0,4,2
2021-09-27 00:00:00+00:00,0,0,2,2
2021-09-28 00:00:00+00:00,1,1,51,5
2021-09-29 00:00:00+00:00,0,0,6,4
2021-09-30 00:00:00+00:00,0,0,8,3
2021-10-01 00:00:00+00:00,0,0,1,1
2021-10-03 00:00:00+00:00,0,0,7,4
2021-10-04 00:00:00+00:00,1,1,24,6
2021-10-05 00:00:00+00:00,1,1,2,2
2021-10-06 00:00:00+00:00,0,0,2,2
2021-10-07 00:00:00+00:00,0,0,12,4
2021-10-08 00:00:00+00:00,0,0,31,5
2021-10-09 00:00:00+00:00,0,0,3,2
2021-10-10 00:00:00+00:00,0,0,2,2
2021-10-11 00:00:00+00:00,0,0,5,3
2021-10-12 00:00:00+00:00,0,0,21,3
2021-10-13 00:00:00+00:00,0,0,13,5
2021-10-14 00:00:00+00:00,2,2,7,3
2021-10-15 00:00:00+00:00,1,1,30,4
2021-10-16 00:00:00+00:00,2,2,0,0
2021-10-17 00:00:00+00:00,0,0,1,1
2021-10-18 00:00:00+00:00,0,0,2,2
2021-10-19 00:00:00+00:00,0,0,8,1
2021-10-20 00:00:00+00:00,3,1,56,5
2021-10-21 00:00:00+00:00,9,2,19,3
2021-10-22 00:00:00+00:00,4,1,0,0
2021-10-23 00:00:00+00:00,12,3,0,0
2021-10-24 00:00:00+00:00,0,0,4,2
2021-10-25 00:00:00+00:00,0,0,25,3
2021-10-26 00:00:00+00:00,2,1,22,8
2021-10-27 00:00:00+00:00,0,0,35,7
2021-10-28 00:00:00+00:00,0,0,3,3
2021-10-29 00:00:00+00:00,0,0,15,4
2021-10-30 00:00:00+00:00,0,0,11,3
2021-10-31 00:00:00+00:00,0,0,6,4
2021-11-01 00:00:00+00:00,0,0,2,2
2021-11-02 00:00:00+00:00,0,0,3,3
2021-11-03 00:00:00+00:00,1,1,4,2
2021-11-04 00:00:00+00:00,0,0,2,2
2021-11-05 00:00:00+00:00,0,0,2,2
2021-11-06 00:00:00+00:00,0,0,4,4
2021-11-07 00:00:00+00:00,0,0,1,1
2021-11-08 00:00:00+00:00,0,0,9,3
2021-11-09 00:00:00+00:00,0,0,3,2
2021-11-10 00:00:00+00:00,0,0,3,3
2021-11-11 00:00:00+00:00,0,0,4,2
2021-11-12 00:00:00+00:00,1,1,1,1
