time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-12 00:00:00+00:00,10,1,9,2
2022-09-13 00:00:00+00:00,1,1,40,6
2022-09-14 00:00:00+00:00,17,3,24,6
2022-09-15 00:00:00+00:00,2,1,14,5
2022-09-16 00:00:00+00:00,10,1,29,6
2022-09-17 00:00:00+00:00,16,5,30,5
2022-09-18 00:00:00+00:00,0,0,3,3
2022-09-19 00:00:00+00:00,0,0,20,6
2022-09-20 00:00:00+00:00,1,1,14,8
2022-09-21 00:00:00+00:00,1,1,9,4
2022-09-22 00:00:00+00:00,0,0,14,6
2022-09-23 00:00:00+00:00,6,3,9,3
2022-09-24 00:00:00+00:00,0,0,6,2
2022-09-25 00:00:00+00:00,10,1,8,3
2022-09-26 00:00:00+00:00,0,0,20,6
2022-09-27 00:00:00+00:00,1,1,14,2
2022-09-28 00:00:00+00:00,0,0,6,3
2022-09-29 00:00:00+00:00,27,3,60,7
2022-09-30 00:00:00+00:00,15,3,32,4
2022-10-01 00:00:00+00:00,10,3,29,4
2022-10-02 00:00:00+00:00,0,0,15,6
2022-10-03 00:00:00+00:00,0,0,26,5
2022-10-04 00:00:00+00:00,2,1,14,3
2022-10-05 00:00:00+00:00,1,1,10,5
2022-10-06 00:00:00+00:00,0,0,7,4
2022-10-07 00:00:00+00:00,0,0,3,3
2022-10-08 00:00:00+00:00,3,2,1,1
2022-10-09 00:00:00+00:00,0,0,4,1
2022-10-10 00:00:00+00:00,0,0,2,2
2022-10-11 00:00:00+00:00,0,0,3,2
2022-10-12 00:00:00+00:00,0,0,6,4
2022-10-13 00:00:00+00:00,0,0,6,6
2022-10-14 00:00:00+00:00,1,1,3,3
2022-10-17 00:00:00+00:00,5,1,18,7
2022-10-18 00:00:00+00:00,1,1,43,6
2022-10-19 00:00:00+00:00,12,3,14,5
2022-10-20 00:00:00+00:00,20,1,21,6
2022-10-21 00:00:00+00:00,2,2,13,6
2022-10-22 00:00:00+00:00,1,1,17,2
2022-10-23 00:00:00+00:00,13,5,8,3
2022-10-24 00:00:00+00:00,0,0,7,3
2022-10-25 00:00:00+00:00,2,2,15,7
2022-10-26 00:00:00+00:00,0,0,5,4
2022-10-27 00:00:00+00:00,0,0,4,4
2022-10-28 00:00:00+00:00,0,0,2,2
2022-10-29 00:00:00+00:00,0,0,7,3
2022-10-30 00:00:00+00:00,0,0,3,2
2022-10-31 00:00:00+00:00,1,1,2,2
2022-11-01 00:00:00+00:00,5,2,1,1
2022-11-02 00:00:00+00:00,6,2,10,2
2022-11-03 00:00:00+00:00,2,1,19,5
2022-11-04 00:00:00+00:00,6,2,23,5
2022-11-05 00:00:00+00:00,0,0,1,1
2022-11-06 00:00:00+00:00,0,0,1,1
2022-11-07 00:00:00+00:00,8,3,13,3
2022-11-08 00:00:00+00:00,4,4,6,3
2022-11-09 00:00:00+00:00,23,6,56,3
2022-11-10 00:00:00+00:00,1,1,4,3
2022-11-11 00:00:00+00:00,8,4,15,4
2022-11-12 00:00:00+00:00,0,0,5,2
2022-11-13 00:00:00+00:00,0,0,2,2
2022-11-14 00:00:00+00:00,27,3,35,2
2022-11-15 00:00:00+00:00,10,2,16,4
2022-11-16 00:00:00+00:00,7,3,6,2
2022-11-17 00:00:00+00:00,20,3,8,1
2022-11-18 00:00:00+00:00,2,2,5,3
2022-11-19 00:00:00+00:00,1,1,0,0
2022-11-20 00:00:00+00:00,2,2,0,0
2022-11-21 00:00:00+00:00,26,5,59,7
2022-11-22 00:00:00+00:00,44,6,55,4
2022-11-23 00:00:00+00:00,14,6,37,5
2022-11-24 00:00:00+00:00,41,2,28,3
2022-11-25 00:00:00+00:00,0,0,3,2
2022-11-27 00:00:00+00:00,0,0,1,1
2022-11-28 00:00:00+00:00,11,2,11,4
2022-11-29 00:00:00+00:00,0,0,11,4
2022-11-30 00:00:00+00:00,0,0,17,5
2022-12-01 00:00:00+00:00,1,1,6,3
2022-12-02 00:00:00+00:00,1,1,11,1
2022-12-04 00:00:00+00:00,26,4,44,4
2022-12-05 00:00:00+00:00,59,2,13,3
2022-12-06 00:00:00+00:00,5,3,7,3
2022-12-07 00:00:00+00:00,10,6,24,3
2022-12-08 00:00:00+00:00,24,2,30,4
2022-12-09 00:00:00+00:00,1,1,15,4
2022-12-10 00:00:00+00:00,1,1,3,2
2022-12-11 00:00:00+00:00,0,0,3,2
2022-12-12 00:00:00+00:00,56,3,97,8
2022-12-13 00:00:00+00:00,17,9,29,5
2022-12-14 00:00:00+00:00,9,4,21,10
2022-12-15 00:00:00+00:00,0,0,41,6
2022-12-16 00:00:00+00:00,44,4,56,9
2022-12-19 00:00:00+00:00,1,1,1,1
2022-12-20 00:00:00+00:00,1,1,15,5
2022-12-21 00:00:00+00:00,0,0,1,1
2022-12-22 00:00:00+00:00,0,0,2,2
2022-12-23 00:00:00+00:00,41,2,51,4
2022-12-24 00:00:00+00:00,12,4,0,0
2022-12-25 00:00:00+00:00,1,1,0,0
2022-12-26 00:00:00+00:00,1,1,0,0
2022-12-27 00:00:00+00:00,0,0,4,2
2022-12-28 00:00:00+00:00,0,0,11,4
2022-12-29 00:00:00+00:00,4,2,6,5
2022-12-30 00:00:00+00:00,2,2,6,5
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-03 00:00:00+00:00,15,8,27,3
2023-01-04 00:00:00+00:00,9,6,12,3
